         1148739 function calls (1092611 primitive calls) in 1.943 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40    0.000    0.000    0.023    0.001 /home/seb/.local/lib/python3.8/site-packages/numba/core/postproc.py:45(livemap)
       40    0.000    0.000    0.023    0.001 /home/seb/.local/lib/python3.8/site-packages/numba/core/analysis.py:60(compute_live_map)
     1134    0.001    0.000    0.022    0.000 /usr/lib/python3.8/abc.py:84(__new__)
       80    0.001    0.000    0.022    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/analysis.py:71(fix_point)
      788    0.003    0.000    0.022    0.000 /usr/lib/python3/dist-packages/colorama/initialise.py:74(wrap_stream)
  565/401    0.004    0.000    0.022    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/runtime/context.py:182(get_meminfos)
      101    0.002    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:849(get_code)
        4    0.001    0.000    0.022    0.005 /home/seb/.local/lib/python3.8/site-packages/numba/core/inline_closurecall.py:82(run)
     2602    0.006    0.000    0.021    0.000 /home/seb/.local/lib/python3.8/site-packages/llvmlite/ir/values.py:557(_set_name)
        4    0.000    0.000    0.020    0.005 /home/seb/.local/lib/python3.8/site-packages/numba/core/typed_passes.py:183(run_pass)
      189    0.001    0.000    0.020    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/errors.py:502(__init__)
        4    0.000    0.000    0.020    0.005 /home/seb/.local/lib/python3.8/site-packages/numba/np/arrayobj.py:428(getitem_arraynd_intp)
      152    0.001    0.000    0.019    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/targetconfig.py:190(__eq__)
        4    0.000    0.000    0.019    0.005 /home/seb/.local/lib/python3.8/site-packages/numba/core/typed_passes.py:463(run_pass)
        4    0.000    0.000    0.019    0.005 /home/seb/.local/lib/python3.8/site-packages/numba/core/ir_utils.py:2218(check_and_legalize_ir)
    11423    0.016    0.000    0.019    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/targetconfig.py:111(getter)
      166    0.002    0.000    0.019    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/extending.py:205(decorate)
       34    0.001    0.000    0.019    0.001 /home/seb/.local/lib/python3.8/site-packages/numba/core/cgutils.py:99(__init__)
      788    0.007    0.000    0.019    0.000 /usr/lib/python3/dist-packages/colorama/ansitowin32.py:73(__init__)
1951/1927    0.006    0.000    0.018    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/typing/context.py:517(can_convert)
     2888    0.018    0.000    0.018    0.000 {built-in method __new__ of type object at 0x907780}
      230    0.001    0.000    0.018    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/extending.py:155(wrap)
      422    0.001    0.000    0.018    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/lowering.py:1357(_alloca_var)
      501    0.009    0.000    0.018    0.000 {built-in method builtins.__build_class__}
      270    0.001    0.000    0.018    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/runtime/context.py:223(decref)
       38    0.001    0.000    0.018    0.000 /home/seb/.local/lib/python3.8/site-packages/llvmlite/binding/module.py:11(parse_assembly)
      230    0.000    0.000    0.018    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/extending.py:138(register_jitable)
        9    0.000    0.000    0.018    0.002 /home/seb/.local/lib/python3.8/site-packages/numba/core/codegen.py:720(add_linking_library)
